,SPX Equity,NVDA US Equity,AMD US Equity,IGLN LN Equity,MINE LN Equity,CBUK GY Equity,FXAC NA Equity,2899 HK Equity,AAPL US Equity,LLY US Equity,JNJ US Equity,PFE US Equity,OGN US Equity,3750 HK Equity,META US Equity,GOOGL US Equity,AIR FP Equity,BA US Equity,RR/ LN Equity,BA/ LN Equity,MDT US Equity,EMB US Equity,CBU0 LN Equity,PG US Equity,AMZN US Equity,NEXT US Equity,SO US Equity,JEMA LN Equity,EMIRATES UH Equity,KO US Equity,CON GR Equity,NFLX US Equity,SBUX US Equity,JGB1X SW Equity,USDCNY Equity,USDJPY Equity,USDHKD Equity,GBPUSD Equity,EURUSD Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2013-12-18,2936.888,0.383,3.65,24.4575,,,,1.77,19.6704,50.51,92.64,29.1684,,,55.57,27.145,55.0,135.49,421.067,434.1,57.76,108.78,124.32,82.38,19.798,,41.01,528.0,5.758,40.02,105.967,53.749,38.84,,6.0717,104.29,7.7524,1.6391,1.3685
2013-12-19,2957.629,0.3845,3.65,23.7763,,,,1.72,19.445,50.14,91.98,29.1115,,,55.05,27.182,55.84,135.17,425.871,442.0,57.17,108.59,123.7,81.9,19.76,,40.79,532.5,5.758,39.86,105.6,53.82,38.575,,6.0713,104.25,7.7536,1.637,1.3661
2013-12-20,3015.703,0.3921,3.69,23.9213,,,,1.64,19.6079,50.2,92.09,28.6755,,,55.12,27.542,55.9,136.67,426.558,422.1,56.89,108.83,124.04,81.84,20.11,,41.06,532.5,,40.04,106.135,53.667,38.83,,6.0709,104.1,7.7545,1.6336,1.3673
2013-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.623,,,,,,,,,,
2013-12-23,3059.258,0.3945,3.75,23.8525,,,,1.71,20.3604,50.55,92.03,28.7703,,,57.77,27.905,55.91,136.4,428.617,430.6,57.4,109.13,123.93,81.31,20.146,,40.88,534.5,5.758,40.16,107.237,54.369,39.16,,6.0708,104.11,7.7537,1.6356,1.3696
2013-12-24,3064.444,0.3955,3.77,23.8413,,,,1.71,20.2739,50.74,92.06,28.7134,,,57.96,27.823,56.15,136.83,430.676,431.4,57.37,109.11,123.57,81.31,19.96,,40.96,534.0,5.844,40.19,,54.056,39.285,,6.0711,104.25,7.7547,1.6368,1.368
2013-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96,,,,,,6.0711,104.38,7.7549,1.6351,1.3681
2013-12-26,,0.3918,3.8,,,,,,20.1393,50.99,92.54,28.9598,,,57.73,27.964,,138.27,,,57.47,108.53,,81.76,20.22,,40.75,,5.96,40.49,,53.847,39.44,,6.0749,104.81,7.7552,1.6411,1.3691
2013-12-27,3094.518,0.394,3.78,24.135,,,,1.7,20.0032,51.25,92.35,29.0452,,,55.44,27.987,56.24,136.9,436.167,440.0,57.4,108.4,123.22,82.01,19.904,,40.86,530.0,,40.66,107.404,52.5,39.285,,6.0689,105.17,7.755,1.6483,1.3749
2013-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.912,,,,,,,,,,
